site_id,district,street,nr_of_rooms,area_m2,floor,floor_max,series,building_type,extra,price,price_m2,site,description,id
teika/cgkbc,Teika,Palmu 11,1,33,2,5,Specpr.,Ķieģeļu-paneļu,Parkošanas vieta,43000.00,1303.03000,https://www.ss.com/msg/lv/real-estate/flats/riga/teika/cgkbc.html,"Pārdodu jauku un siltu dzīvokli klusā Teikas rajonā. Saprātīgi komunālie rēķini, slēgtas ārdurvis. Ir autostāvvieta. Zeme īpašumā. Starpniekus lūdzu netraucēt.",577
centre/dcxgl,centrs,Elijas 11,3,48,2,2,P. kara,Koka,Parkošanas vieta,65900.00,1372.92000,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dcxgl.html,"Pārdod siltu un saulainu trīs istabu dzīvokli Rīgas centrā. 

Plašs un ērts dzīvoklis ēkas 2. stāvā ar divām izolētām un vienu caurstaigājamu istabu. Lieliska atrašanās vieta – klusa iela, bet vienlaikus Vecrīga tikai 7 minūšu gājienā, Centrāltirgus – 5 minūšu attālumā. No logiem paveras skaists skats uz baznīcu un vēstniecību. 

Plānojums un ērtības:
 Aprīkota virtuve ar virtuves iekārtu, izlietni, indukcijas plīts virsmu un atsūcēju. 
 Koridorā iebūvēts sienas skapis ar bīdāmām durvīm. 
 Guļamistabā ietilpīgs skapis ar bīdāmām durvīm. 
 Apvienota tualete ar dušu. 
 Slēgtā pagalmā ir bezmaksas stāvvieta 
 Vasarā pie mājas ir dobes, kur var izpausties. 

Ekonomiski izdevīgs:
 Komunālie maksājumi vidēji 160 EUR mēnesī visu gadu ieskaitot apkuri no autonoma gāzes katla 
 Apsaimnieko Rīgas namu pārvaldnieks.",578
centre/bckmni,centrs,Piena 4,2,46,4,4,Renov.,Mūra,Parkošanas vieta,115000.00,2500.00000,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/bckmni.html,"Pēc kapitālā remonta, gaišs un gaumīgi iekārtots divistabu dzīvoklis tālajā centrā, Viesturdārza apkaimē, ļoti pieprasītā un perspektīvā vietā, Andrejostas kvartāla tuvumā. 

Dzīvoklim ir augstie griesti, kas to padara gaišu un mājīgu. 
Dzīvoklim ir veikts kvalitatīvs kapitālais remonts, nosiltinātas sienas un griesti, kas nodrošina, ka ziemā tas ir ļoti silts, bet vasarā pietiekami vēss. 
Dzīvoklī ir uzstādīti jauni energoefektīvi logi, ūdensapgādes un kanalizācijas stāvvads, izbūvēta jaunākās paaudzes apkures un ventilācijas sistēma. 
Ievilkta jauna elektroinstalācija, uzstādītas mūsdienīgas kontaktligzdas un slēdži. 
Katram dzīvoklim ir savs siltuma skaitītājs un ūdens skaitītājs, kas ne tikai ļauj regulēt siltuma līmeni dzīvoklī, bet ļauj arī krietni ietaupīt uz komunālo pakalpojumu izmaksām. 

Visi logi ir vērsti uz iekoptu pagalmu. 

Studio tipa plānojums – virtuves zona apvienota ar viesistabu jeb dzīvojamo istabu. Atsevišķa, guļamistaba, kurā pietiek vietas gan gultai, gan skapim. Skaista vannas istaba ar dušu, WC un veļas mašīnu. 
Dzīvoklim ir ērts koridors virsdrēbju un apavu glabāšanai. 
Dzīvoklis ir gatavs dzīvošanai; Tas ir pilnībā mēbelēts aprīkots ar visu nepieciešamo sadzīves tehniku. 

STĀVVIETA SLĒGTĀ PAGALMĀ IR IEKĻAUTA CENĀ. 

Dzīvoklis atrodas trīs renovētu ēku kompleksā “Katrīnas pagalms”. 

Projektam ir:
- Atjaunotas ēkas fasādes un jumts;
- Pilnībā renovētas kāpņu telpas;
- Labiekārtots, izgaismots, slēgts pagalms ar bruģakmens klājumu, gājēju celiņiem un iezīmētām stāvvietām tikai kompleksa iedzīvotājiem;
- Nomainītas pilnīgi visas komunikācijas;

Zeme zem mājas ir īpašumā. 

Качественная, светлая и со вкусом обставленная двухкомнатная квартира в дальнем центре, в районе Виестурдарзс, в очень востребованном и перспективном месте, недалеко от квартала Андрейоста. 

В квартире высокие потолки, что делает ее светлой и уютной. В квартире был сделан ремонт, стены и потолки были утеплены, благодаря чему зимой в квартире очень тепло, а летом достаточно прохладно. 
В квартире установлены новые энергосберегающие окна, стояк водоснабжения и канализации, система отопления и вентиляции последнего поколения. Установлена новая электропроводка, современные розетки и выключатели. 
В каждой квартире установлен свой счетчик тепла и счетчик воды, что позволяет не только регулировать уровень тепла в квартире, но и значительно экономить на коммунальных расходах. 

Все окна выходят в благоустроенный внутренний двор. 

Студийная планировка - кухонная зона объединена с гостиной. Отдельная спальня с достаточным местом для кровати и гардероба. Красивая ванная комната с душем, туалетом и стиральной машиной. 
В квартире есть удобный коридор для хранения верхней одежды и обуви. 
Квартира готова к проживанию, она полностью меблирована и оснащена всей необходимой бытовой техникой. 

ПАРКОВКА В ЧАСТНОМ ДВОРЕ ВКЛЮЧЕНА В СТОИМОСТЬ. 

Квартира расположена в комплексе из трех отреставрированных зданий ""Двор Катрины"". 

Проект имеет:
- Отремонтированные фасады и крыша;
- Полностью отремонтированные лестничные марши;
- Озелененный, освещенный, закрытый двор с брусчаткой, пешеходными дорожками и выделенными парковочными местами только для жильцов;
- Полностью заменены все коммуникации;

Земля под домом находится в собственности. 

Quality, bright and tastefully furnished one-bedroom apartment in the far centre, in the Viesturdārzs neighbourhood, in a highly sought-after and promising location, close to the Andrejosta quarter. 

The apartment has high ceilings, which make it bright and cosy. The apartment has been renovated, the walls and ceilings have been insulated, which ensures that it is very warm in winter and cool enough in summer. 
The apartment has new energy-efficient windows, water supply and sewerage riser, the latest generation heating and ventilation system. New electrical wiring, modern sockets and switches have been installed. 
Each apartment has its own heat meter and water meter, which not only allows to regulate the heat level in the apartment, but also allows to save a lot on utility costs. 

All windows face the landscaped courtyard. 

Studio layout - kitchen area combined with living room. Separate bedroom with enough space for a bed and wardrobe. Beautiful bathroom with shower, toilet and washing machine. 
The apartment has a convenient corridor for storing outerwear and shoes. 
The apartment is ready to live in; It is fully furnished and equipped with all necessary appliances. 

PARKING IN A PRIVATE COURTYARD IS INCLUDED IN THE PRICE. 

The apartment is located in a complex of three renovated buildings ""Katrina's Courtyard"". 

The project has:
- Renovated facades and roof;
- Completely renovated staircases;
- Landscaped, illuminated, enclosed courtyard with paving stones, pedestrian walkways and marked parking spaces for residents only;
- All communications completely replaced;

The land under the house is owned.",579
centre/beehnp,centrs,Kalpaka bulv. 9,4,193,5,5,P. kara,Mūra,"Lodžija, Terase, Parkošanas vieta",750000.00,3886.01000,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/beehnp.html,"Skaists, izsmalcināts dzīvoklis arhitekta Jāņa Fridriha Baumaņa projektētā namā, izcilā vietā Rīgas centrā. Nams celts 1874. gadā, bet ir veikta fasādes renovācija, atjaunota kāpņu telpa. 

Dzīvoklim ir 20m2 plaša terase ar brīnišķīgāko skatu Rīgā uz blakus esošo parku. Terases apdarē izmantots ilgtspējīgs termokoka klājums, apsildāmas notekas un trapi, ļoti kvalitatīvs hidroizolācijas materiāls. 

Lai dzīve būtu izdevusies, komfortabla un tajā pašā laikā mājīga, dizainera veidotajā penthouse ir pārdomāta katra detaļa, katrs priekšmets. Interjerā un apdarē izmantoti tikai augstākās klases apdares materiāli, iebūvētās mēbeles un tehnika no tādiem zīmoliem kā Armani Casa, Flos, Flaminia, Bulthaup, Poltrona Frau. Galvenie interjera elementi – ozolkoka parkets, akmens flīzes, spoguļi, stilīgi aksesuāri un gaismekļi. Tehnika no tādiem zīmoliem kā Miele un Bulthaup. 

Dzīvoklis ir pārbūvēts, pārbūve ir saskaņota. Katrā telpā individuāli regulējams kondicionieris. 
Apkuri nodrošina autonoms gāzes apkures katls un dizaina radiatori no IRSAP. 

Ir uzstādīta apsardzes un ugunsdrošības signalizācija. Visā dzīvoklī iebūvēti audio skaļruņi, kurus var regulēt katrā telpā. Jumtā un grīdās ir iestrādāta skaņas izolācija. 

Plānojums sastāv no trim izolētām istabām – galvenajai guļamistabai ir sava vannas istaba ar vannu un walk in garderobe. 

Plašā dzīvojamā istaba ir apvienota ar virtuves zonu un izeju uz terases. Tur atrodas arī atvērtais malkas kamīns ar melnu akmens apdari. 
Virtuvē ir visa nepieciešamā tehnika un aprīkojums – Bulthaup virtuve un tvaika nosūcējs; Miele tehnika, tajā skaitā vīna ledusskapis. 
Dzīvoklī ir trīs vannas istabas ar apsildāmajām grīdām, santehniku no Flaminia, aksesuāriem no Fantini. 

Māju apsaimnieko dzīvokļu īpašnieku biedrība “Kalpaka 9”, kas būtiski ietekmē apsaimniekošanas izmaksas. 
Zeme zem mājas ir īpašumā. 

Izcila atrašanās vieta – rokas stiepiena attālumā restorāni, veikali, skaistumkopšana , biznesa centri, kultūras iespējas, parki un Vecrīga. 

RUS
Красивая, изысканная квартира в доме по проекту архитектора Яниса Фридриха Бауманиса, в отличном месте в центре Риги. 
Дом построен в 1874 году, но отремонтирован фасад, отремонтированы лестничные клетки. 

В квартире есть терраса шириной 20м2 с самым прекрасным видом в Риге на прилегающий парк. Терраса отделана экологически чистым полом из термо дерева, водостоками и люками с подогревом, высококачественным гидроизоляционным материалом. 

Чтобы жизнь была успешной, комфортной и одновременно уютной, в созданном дизайнером пентхаусе продумана каждая деталь, каждый предмет. В интерьере и отделке использованы только высококлассные отделочные материалы, встроенная мебель и техника таких брендов, как Armani Casa, Flos, Flaminia, Bulthaup, Poltrona Frau. Основными элементами интерьера являются дубовый паркет, каменная плитка, зеркала, стильные аксессуары и светильники. Бытовая техника таких брендов, как Miele и Bulthaup. 

В квартире сделан ремонт, ремонт согласован. Индивидуально регулируемый кондиционер в каждой комнате. 
Отопление осуществляется автономным газовым котлом и дизайнерскими радиаторами IRSAP. 
Установлена охранная и пожарная сигнализация. Встроенные аудиодинамики по всей квартире, которые можно регулировать в каждой комнате. Звукоизоляция встроена в крышу и полы. 

Планировка состоит из трех изолированных комнат – главная спальня имеет собственный санузел с ванной и гардеробную. 

Просторная гостиная объединена с кухонной зоной и выходом на террасу. Также имеется открытый дровяной камин с отделкой из черного камня. 
На кухне есть вся необходимая техника и оборудование – кухня Bulthaup и вытяжка; Техника Miele, в том числе винный холодильник. 
В квартире три санузла с подогревом полов, сантехника Flaminia, аксессуары Fantini. 

Дом находится в ведении объединения собственников квартир Калпака 9, что существенно влияет на затраты на управление. 

Есть возможность поставить машину во дворе, земля под домом в собственности. 

Отличное расположение - рестораны, магазины, салоны красоты, бизнес-центры, культурные возможности, парки и Старая Рига находятся в пределах легкой досягаемости. 

ENG
A beautiful, refined apartment in a house designed by architect Janis Fridrihs Baumanis, in an excellent location in the center of Riga. 

The house was built in 1874, but the facade has been renovated, the staircases have been renovated. 

The apartment has a 20m2 wide terrace with the most wonderful view in Riga of the adjacent park. The terrace is finished with sustainable thermowood flooring, heated drains and trapdoors, high-quality waterproofing material. 

In order for life to be successful, comfortable and cozy at the same time, every detail, every object has been thought out in the penthouse created by the designer. Only high-class finishing materials, built-in furniture and appliances from such brands as Armani Casa, Flos, Flaminia, Bulthaup, Poltrona Frau are used in the interior and decoration. The main interior elements are oak parquet, stone tiles, mirrors, stylish accessories and lamps. Appliances from brands such as Miele and Bulthaup. 

The apartment has been rebuilt, the rebuilding has been coordinated. Individually adjustable air conditioning in each room. 
Heating is provided by an independent gas boiler and design radiators from IRSAP. 
Security and fire alarms have been installed. Built-in audio speakers throughout the apartment that can be adjusted in each room. Sound insulation is built into the roof and floors. 

The layout consists of three isolated rooms - the master bedroom has its own bathroom with a bathtub and a walk-in wardrobe. 

The spacious living room is combined with the kitchen area and exit to the terrace. There is also an open wood-burning fireplace with a black stone finish. 
The kitchen has all the necessary appliances and equipment – kitchen from Bulthaup and a range hood; Miele appliances, including a wine refrigerator. 
The apartment has three bathrooms with heated floors, plumbing fixtures from Flaminia, accessories from Fantini. 

The house is managed by the association of apartment owners ""Kalpaka 9"", which significantly affects the management costs. 
It is possible to park a car in the yard, the land under the house is owned. 

Excellent location - restaurants, shops, beauty care, business centers, cultural opportunities, parks and Old Riga are within easy reach.",580
kengarags/ailgj,Ķengarags,Prūšu 46,4,119,10,10,Jaun.,Paneļu,Lodžija,237600.00,1996.64000,https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/ailgj.html,"2 stāvu penthauss ar panorāmas skatu un plašu terasi Rīgā, Ķengaraga rajonā. Dzīvoklis ar kopējo platību 118, 8 kvadrātmetri, kas atrodas 9. un 10. stāvā, ir unikāls piedāvājums komforta un stila cienītājiem. Jūsu rīcībā ir 2 mājīgas guļamistabas, kā arī kabinets vai viesu guļamistaba, 3 vannas istabas un grezna viesistaba ar izeju uz terasi. 
Aprīkots ar mūsdienīgām ērtībām, dzīvoklis ir aprīkots ar apsildāmām grīdām flīžu zonās, iebūvētiem skapjiem un labi piemeklētām kvalitatīvām mēbelēm. Terasē, kur var baudīt skaistus skatus, ērti izvietots galds un vairāki krēsli. Skats no terases uz Ķеngaragu. 
Cenā ir iekļauta autostāvvieta pagalmā, ja vēlaties, varat iegādāties arī autostāvvietu pazemes garāžā. Mājas teritorija ir iežogota un apsargāta, kas sniedz drošības un privātuma sajūtu. Patīkami iepriecinās arī komunālie maksājumi - aptuveni 390 eiro par janvāri un tas ietver apkuri, ūdeni un apsardzes pakalpojumus. 
Nepalaidiet garām iespēju iegādāties šo neparasto dzīvokli. 
Īpašumā ietilpst dzīvoklis un zeme zem mājas. Par papildus samaksu iespējams iegādāties vietu pazemes garāžā un neiebūvējamās mēbeles. 
Zvaniet tagad, lai uzzinātu vairāk un vienotos par apskati. 

2-х этажный пентхаус с панорамным видом и широкой террасой в Риге, район Кенгарагс. Квартира с общей площадью 118, 8 квадратных метров, расположенная на 9-м и 10-м этажах, представляет собой уникальное предложение для тех, кто ценит комфорт и стиль. В распоряжении вас - 2 уютные спальни плюс рабочий кабинет или гостевая спальня, 3 санузла и роскошная гостиная с выходом на террасу. 
Оснащенная современными удобствами, квартира оснащена полами с подогревом в местах где плитка, встроенными шкафами и хорошо подобранной качественной мебелью, На террасе, где можно насладиться прекрасными видами, уютно размещаются столик и несколько кресел. Вид с терассы на Кенгарагс. 
Парковочное место во дворе входит в стоимость, если пожелаете, можете выкупить так же и парковочное место в подземном гараже. Территория дома огорожена и охраняется, что обеспечивает вам чувство безопасности и приватности. Коммунальные счета вас тоже приятно порадуют – около 390 евро за январь и это с отоплением, водой и услугами охранника. 
Не упустите шанс приобрести эту необыкновенную квартиру. 
В собственности квартира и земля под домом. За дополнительную плату можно приобрести место в подземном гараже и невстроенную мебель. 
Звоните прямо сейчас, чтобы узнать больше и договориться о просмотре.",581
purvciems/dnomn,Purvciems,Stirnu 35a,2,48,1,9,602.,Paneļu,,39000.00,812.50000,https://www.ss.com/msg/lv/real-estate/flats/riga/purvciems/dnomn.html,"Pārdošanā plašs 2-istabu dzīvoklis Purvciemā:

- visās telpās nomainīti plastikāta logi, 
- nepieciešams remonts, 
- 2 izolētas istabas, dalīts sanmezgls, 
- dzīvoklis atrodas 1.stāvā, 
- apsaimniekotājs “Rīgas Namu Pārvaldnieks"", 
- logi vērsti uz zaļo zonu, rīta saule, 
- kluss, mierīgs rajons, 
- attīstīta infrastruktūra (skolas, bērnudārzi, pārtikas veikali, aptieka, LIDO, sabiedriskais transports, netālu degvielas uzpildes stacija, sporta klubi un Biķernieku mežs, 10min ar auto līdz T/C Akropole Alfa), 
- bez apgrūtinājumiem vai parādiem, pieejams iegādei uzreiz (nav apdzīvots). 

Lūdzu, zvanīt vai sazināties Whatsapp, lai vienotos par apskates laiku. 

Продаётся просторная 2-комнатная квартира в Пурвциемсе:

- во всех помещениях установлены пластиковые окна, 
- требуется ремонт, 
- 2 изолированные комнаты, раздельный санузел, 
- квартира находится на 1 этаже, 
- управляющая компания Rīgas Namu Pārvaldnieks, 
- окна выходят на зелёную зону, утреннее солнце, 
- тихий, спокойный район, 
- развитая инфраструктура (школы, детские сады, продуктовые магазины, аптека, LIDO, общественный транспорт, недалеко автозаправка, спортзалы и лес Biķernieku, 10 минут на машине до ТЦ Akropole Alfa), 
- без обременений и долгов, доступна к покупке сразу (не заселена). 

Пожалуйста, звоните или свяжитесь по WhatsApp, чтобы договориться о просмотре.",582
zolitude/bdnkbn,Zolitūde,Anniņmuižas 7,1,53,6,12,Jaun.,Ķieģeļu-paneļu,,80000.00,1509.43000,https://www.ss.com/msg/lv/real-estate/flats/riga/zolitude/bdnkbn.html,"Dzīvoklis labā stāvoklī, atbrīvots un gatavs jaunajiem īpašniekiem. Dzīvoklis atrodas saulainajā pusē, māja būvēta no ķieģeļiem – silta un kvalitatīva. 

Aprīkojums un ērtības:
Iebūvēta virtuve, elektriskā plīts, sadzīves tehnika un mēbeles
Pasažieru un kravas lifti
Mājā ir autonomā katlumāja (karstais ūdens un apkure)
Zemi komunālie maksājumi, pateicoties individuālajam siltuma skaitītājam
Zeme īpašumā

Drošība un infrastruktūra:
Diennakts apsardze (apsargs + videonovērošana)
Slēgts pagalms ar bērnu laukumu
Iespēja bez maksas novietot automašīnu ar caurlaidi
Blakus – maksas stāvvietas

Tuvumā:
Lielveikali: RIMI, LIDL, MEGO. 
Skolas un bērnudārzi: Rīgas Zolitūdes ģimnāzija, Skandināvu ģimnāzija
Sporta klubs

Квартира в хорошем состоянии, освобождена и готова к заселению новых владельцев. Расположена на солнечной стороне, дом построен из кирпича тёплый и качественный. 

Оснащение и удобства:
Встроенная кухня, электрическая плита, бытовая техника и мебель
Пассажирский и грузовой лифты
В доме автономная котельная (горячая вода и отопление)
Низкие коммунальные платежи благодаря индивидуальному счётчику тепла
Земельный участок в собственности

Безопасность и инфраструктура:
Круглосуточная охрана (охранник + видеонаблюдение)
Закрытый двор с детской площадкой
Возможность бесплатной парковки по пропуску
Рядом платные парковки

Вблизи:
Супермаркеты: RIMI, LIDL, MEGO
Школы и детские сады: Рижская Золитудская гимназия, Скандинавская гимназия
Спортклуб",583
agenskalns/aglhf,Āgenskalns,Raņķa d. 31,2,44,2,4,Renov.,Mūra,Parkošanas vieta,122000.00,2772.73000,https://www.ss.com/msg/lv/real-estate/flats/riga/agenskalns/aglhf.html,"Tiek pārdots pavisam jauns divistabu dzīvoklis skaistajā, renovētajā četru stāvu ēkā, kas atrodas blakus Zundas kanālam un Ķīpsalai. Māja ir pilnībā rekonstruēta, nomainītas visas komunikācijas, uzstādīti vēsturiskie koka logi ar augstu siltuma caurlaidības koeficientu un skaņas izolāciju. Dzīvoklis ir kapitāli remontēts ar dizaina risinājumiem, augstie griesti dod telpai īpašu šarmu. Dzīvoklī ir atsevišķa guļamistaba, plaša viesistaba ar virtuvi, ģērbtuve, vannas istaba, koridors. Pilnībā mēbelēts. Virtuve aprīkota ar visu nepieciešamo sadzīves tehniku. Atsevišķs siltuma skaitītājs. Zemi komunālie maksājumi. Ap ēku ir labiekārtota teritorija, kur iespējams novietot automašīnu, savukārt priekš papildu drošības uzstādīta jauna videonovērošanas sistēma. Ir iespēja iegādāties autostāvvietu. 

Продаётся абсолютно новая двухкомнатная квартира в красивом четырехэтажном доме, который расположен рядом с каналом Зундас и Кипсалой. Дом полностью реконструирован, заменены все коммуникации, установлены многокамерные стеклопакеты. В квартире произведен капитальный ремонт с дизайнерскими решениями: отдельная спальная комната, просторная гостиная с кухней, гардеробная, санузел, коридор. Высокие потолки. Квартира полностью меблирована. Кухня оснащена всей необходимой бытовой техникой. Отдельный счетчик и регуляторы на батареях. Низкие коммунальные платежи. Благоустроенная территория вокруг дома, а также для дополнительной безопасности установлена система видеонаблюдения. Есть возможность приобрести парковочное место. 

Brand new two-room apartment for sale in a beautiful four-storey building, which is located next to the Zundas channel and Ķīpsala. The house has been completely reconstructed, all communications have been replaced, and multi-chamber double-glazed windows have been installed. The apartment has a high-quality renovation with design solutions: separate bedroom, a spacious living room with a kitchen, а wardrobe, a bathroom, a corridor. High ceilings. The apartment is furnished. The kitchen is equipped with all necessary household appliances. Separate meter and regulators on batteries. Low utility bills. Landscaped area around the house, as well as a video surveillance system is installed for additional security. There is a possibility to purchase parking space.",584
agenskalns/ehxik,Āgenskalns,Raņķa d. 31,2,42.8,2,4,Renov.,Mūra,Parkošanas vieta,120450.00,2814.25000,https://www.ss.com/msg/lv/real-estate/flats/riga/agenskalns/ehxik.html,"Tiek pārdots jauns divistabu dzīvoklis skaistajā, renovētajā četru stāvu ēkā, kas atrodas blakus Zundas kanālam un Ķīpsalai. Māja ir pilnībā rekonstruēta, nomainītas visas komunikācijas, uzstādīti vēsturiskie koka logi ar augstu siltuma caurlaidības koeficientu un skaņas izolāciju. Dzīvoklis ir kapitāli remontēts ar dizaina risinājumiem, augstie griesti dod telpai īpašu šarmu. Dzīvoklis ir pilnībā mēbelēts. Virtuve aprīkota ar visu nepieciešamo sadzīves tehniku. Atsevišķs siltuma skaitītājs. Zemi komunālie maksājumi. Ap ēku ir labiekārtota teritorija, kur iespējams novietot automašīnu, savukārt priekš papildu drošības uzstādīta jauna videonovērošanas sistēma. 
Ir iespēja iegādāties autostāvvietu. 

Продаётся новая двухкомнатная квартира в долгосрочную аренду в красивом четырехэтажном доме, который расположен рядом с каналом Зундас и Кипсалой. Дом полностью реконструирован, заменены все коммуникации, установлены многокамерные стеклопакеты. В квартире произведен капитальный ремонт с дизайнерскими решениями. Высокие потолки. Квартира полностью меблирована. Кухня оснащена всей необходимой бытовой техникой. Отдельный счетчик и регуляторы на батареях. Низкие коммунальные платежи. Благоустроенная территория вокруг дома, а также для дополнительной безопасности установлена система видеонаблюдения. Есть возможность приобрести парковочное место. 

For sale new two-room apartment in a beautiful four-storey building, which is located next to the Zundas channel and Ķīpsala. The house has been completely reconstructed, all communications have been replaced, and multi-chamber double-glazed windows have been installed. The apartment has a high-quality renovation with design solutions. High ceilings. The apartment is furnished. The kitchen is equipped with all necessary household appliances. Separate meter and regulators on batteries. Low utility bills. Landscaped area around the house, as well as a video surveillance system is installed for additional security. It is possible to buy a parking place.",585
agenskalns/idjnk,Āgenskalns,Raņķa d. 31,2,45,2,4,Renov.,Mūra,Parkošanas vieta,118100.00,2624.44000,https://www.ss.com/msg/lv/real-estate/flats/riga/agenskalns/idjnk.html,"Pārdodas gatavs bizness. Pavisam jauns dzīvoklis ar īrnieku uz ilgu laiku. Dzīvoklis skaistajā, renovētajā četru stāvu ēkā, kas atrodas blakus Zundas kanālam un Ķīpsalai. Māja ir pilnībā rekonstruēta, nomainītas visas komunikācijas, uzstādīti vēsturiskie koka logi ar augstu siltuma caurlaidības koeficientu un skaņas izolāciju. Dzīvoklis ir kapitāli remontēts ar dizaina risinājumiem, augstie griesti dod telpai īpašu šarmu. Dzīvoklis ir pilnībā mēbelēts. Virtuve aprīkota ar visu nepieciešamo sadzīves tehniku. Atsevišķs siltuma skaitītājs. Zemi komunālie maksājumi. Ap ēku ir labiekārtota teritorija, kur iespējams novietot automašīnu, savukārt priekš papildu drošības uzstādīta jauna videonovērošanas sistēma. Ir iespēja iegādāties autostāvvietu. 

Продается готовый бизнес. Абсолютно новая двухкомнатная квартира с арендатором в долгосрочную аренду. Квартира в красивом четырехэтажном доме, который расположен рядом с каналом Зундас и Кипсалой. Дом полностью реконструирован, заменены все коммуникации, установлены многокамерные стеклопакеты. В квартире произведен капитальный ремонт с дизайнерскими решениями. Высокие потолки. Квартира полностью меблирована. Кухня оснащена всей необходимой бытовой техникой. Отдельный счетчик и регуляторы на батареях. Низкие коммунальные платежи. Благоустроенная территория вокруг дома, а также для дополнительной безопасности установлена система видеонаблюдения. Есть возможность приобрести парковочное место. 

For sale ready business with stylish and modern two-room apartment in a renovated house with long-term tenants. Four-storey building, which is located next to the Zundas channel and Ķīpsala. The house has been completely reconstructed, all communications have been replaced, and multi-chamber double-glazed windows have been installed. The apartment has a high-quality renovation with design solutions. High ceilings. The apartment is furnished. The kitchen is equipped with all necessary household appliances. Separate meter and regulators on batteries. Low utility bills. Landscaped area around the house, as well as a video surveillance system is installed for additional security. It is possible to buy a parking place.",586
ilguciems/bdbem,Iļģuciems,Baltā 22,3,54,5,5,LT proj.,Paneļu,Lodžija,55000.00,1018.52000,https://www.ss.com/msg/lv/real-estate/flats/riga/ilguciems/bdbem.html,"Pārdod saulainu 3 istabu dzīvokli Iļģuciemā. 

Mājīgs un praktisks dzīvoklis Baltā ielā 22, kopējā platība 54 kvm, divas izolētas un viena caurstaigājama istaba, lodžija, vannas istaba un labierīcības atsevišķi, atrodas 5.stāvā, kas nodrošina klusumu un plašu skatu. 

Dzīvoklī veikts remonts, nomainīti logi, radiatori, divās istabās koka dēļu grīdas, mainīta elektroinstalācija, iebūvēta virtuve ar sadzīves tehniku. Kārtīga un kopta trepju telpa ar kodu, noliktavas telpa pagrabā, zemes domājamās daļas īpašumā, atbrīvots un bez parādiem. 

Māju apsaimnieko Rīgas namu pārvaldnieks, apsaimniekošanas izdevumi 2025. gada marta mēnesī - 150 EUR, no tiem apkure 74 EUR, komunālie maksājumi par par ūdeni, elektrību un gāzi - saskaņā ar skaitītāju rādījumiem. 

Netālu bērnudārzi, skolas, pārtikas veikali Rimi, Maxima un Mego. Laba sabiedriskā transporta kustība, blakus 9., 25. trolejbusu un 30., 54. autobusu pieturas, netālu 3., 13. autobusu un 5. tramvaja pieturas. Blakus Kultūras centrs Iļģuciems, minūšu gājiena attālumā Veselības centrs Iļģuciems un Nordeķu parks nesteidzīgām pastaigām svaigā gaisā. 

Dzīvoklis sava izvietojuma dēļ ir laba dzīvesvieta tiem, kas novērtē zaļu apkārtni un ērtu nokļūšanu kā līdz centram, tā arī līdz Vakarbuļļu pludmalei. 

Zvaniet un vienosimies par apskati.",587
